energy_code,climate_zone,surface_type,assembly_type,construction_name,ip name,si name,r value ip,r value si,is_duplicate,ip match,si match
ASHRAE_90_1_2007,2,Roof,Attic_and_Other,Attic & Other Roof CZ2 R-47 |Attic & Other Roof CZ2 R-8.3,Attic & Other Roof CZ2 R-47 ,Attic & Other Roof CZ2 R-8.3,47,8.3,false,true,true
ASHRAE_90_1_2007,2,Roof,Attic_and_Other,Attic & Other Roof CZ2 R-52 |Attic & Other Roof CZ2 R-9.2,Attic & Other Roof CZ2 R-52 ,Attic & Other Roof CZ2 R-9.2,52,9.2,false,true,true
ASHRAE_90_1_2007,2,Roof,Attic_and_Other,Attic & Other Roof CZ2 R-57 |Attic & Other Roof CZ2 R-10.0,Attic & Other Roof CZ2 R-57 ,Attic & Other Roof CZ2 R-10.0,57,10.0,false,true,true
ASHRAE_90_1_2007,2,Roof,Attic_and_Other,Attic & Other Roof CZ2 R-62 |Attic & Other Roof CZ2 R-10.9,Attic & Other Roof CZ2 R-62 ,Attic & Other Roof CZ2 R-10.9,62,10.9,false,true,true
ASHRAE_90_1_2007,2,Roof,IEAD,IEAD Roof CZ2 R-31 |IEAD Roof CZ2 R-5.4,IEAD Roof CZ2 R-31 ,IEAD Roof CZ2 R-5.4,31,5.4,false,true,true
ASHRAE_90_1_2007,2,Roof,IEAD,IEAD Roof CZ2 R-36 |IEAD Roof CZ2 R-6.3,IEAD Roof CZ2 R-36 ,IEAD Roof CZ2 R-6.3,36,6.3,false,true,true
ASHRAE_90_1_2007,2,Roof,IEAD,IEAD Roof CZ2 R-41 |IEAD Roof CZ2 R-7.2,IEAD Roof CZ2 R-41 ,IEAD Roof CZ2 R-7.2,41,7.2,false,true,true
ASHRAE_90_1_2007,2,Roof,IEAD,IEAD Roof CZ2 R-46 |IEAD Roof CZ2 R-8.1,IEAD Roof CZ2 R-46 ,IEAD Roof CZ2 R-8.1,46,8.1,false,true,true
ASHRAE_90_1_2007,2,Roof,Metal_Building,Metal Roof CZ2 R-25 |Metal Roof CZ2 R-4.5,Metal Roof CZ2 R-25 ,Metal Roof CZ2 R-4.5,25,4.5,false,true,true
ASHRAE_90_1_2007,2,Roof,Metal_Building,Metal Roof CZ2 R-30 |Metal Roof CZ2 R-5.4,Metal Roof CZ2 R-30 ,Metal Roof CZ2 R-5.4,30,5.4,false,true,true
